,ReactionID,Participation,Stiochiometry,MoleculeID
17846,R-HSA-9025007,Product,1,R-ALL-9025005
17847,R-HSA-9025152,Substrate,1,R-ALL-9025155
17848,R-HSA-9025152,Substrate,1,R-ALL-29368
17849,R-HSA-9025152,Product,1,R-ALL-9025151
17850,R-HSA-9025957,Substrate,1,R-ALL-9025155
17851,R-HSA-9025957,Substrate,1,R-ALL-29368
17852,R-HSA-9025957,Product,1,R-ALL-9025960
17853,R-HSA-9025995,Substrate,1,R-ALL-9026034
17854,R-HSA-9025995,Substrate,1,R-ALL-29366
17855,R-HSA-9025995,Product,1,R-ALL-9026050
17856,R-HSA-9025995,Product,1,R-ALL-29364
17857,R-HSA-9025996,Substrate,1,R-ALL-29368
17858,R-HSA-9025996,Substrate,1,R-ALL-9026047
17859,R-HSA-9025996,Product,1,R-ALL-9026034
17860,R-HSA-9025998,Substrate,1,R-ALL-29356
17861,R-HSA-9025998,Substrate,1,R-ALL-9026307
17862,R-HSA-9025998,Product,1,R-ALL-9026321
17863,R-HSA-9025999,Substrate,1,R-ALL-29366
17864,R-HSA-9025999,Substrate,1,R-ALL-9026047
17865,R-HSA-9025999,Product,1,R-ALL-9026046
17866,R-HSA-9025999,Product,1,R-ALL-29364
17867,R-HSA-9026000,Substrate,1,R-ALL-29356
17868,R-HSA-9026000,Substrate,1,R-ALL-9026046
17869,R-HSA-9026000,Product,1,R-ALL-9026023
17870,R-HSA-9026001,Substrate,1,R-ALL-9026034
17871,R-HSA-9026001,Substrate,1,R-ALL-5359016
17872,R-HSA-9026001,Product,1,R-ALL-9026036
17873,R-HSA-9026001,Product,1,R-ALL-9024637
17874,R-HSA-9026003,Substrate,1,R-ALL-9608444
17875,R-HSA-9026003,Substrate,1,R-ALL-29368
17876,R-HSA-9026003,Product,1,R-ALL-9026047
17877,R-HSA-9026005,Substrate,1,R-ALL-9026293
17878,R-HSA-9026005,Substrate,1,R-ALL-29368
17879,R-HSA-9026005,Product,1,R-ALL-9026311
17880,R-HSA-9026006,Substrate,1,R-ALL-9608444
17881,R-HSA-9026006,Substrate,1,R-ALL-29368
17882,R-HSA-9026006,Product,1,R-ALL-9026293
17883,R-HSA-9026007,Substrate,1,R-ALL-9025012
17884,R-HSA-9026007,Substrate,1,R-ALL-29366
17885,R-HSA-9026007,Product,1,R-ALL-9026307
17886,R-HSA-9026007,Product,1,R-ALL-29364
17887,R-HSA-9026008,Substrate,1,R-ALL-29356
17888,R-HSA-9026008,Substrate,1,R-ALL-9026050
17889,R-HSA-9026008,Product,1,R-ALL-9026291
17890,R-HSA-9026405,Substrate,1,R-ALL-9026400
17891,R-HSA-9026405,Substrate,1,R-ALL-29368
17892,R-HSA-9026405,Product,1,R-ALL-9026394
17893,R-HSA-9026408,Substrate,1,R-ALL-9608444
17894,R-HSA-9026408,Substrate,1,R-ALL-29368
17895,R-HSA-9026408,Product,1,R-ALL-9026407
17896,R-HSA-9026411,Substrate,1,R-ALL-9026407
17897,R-HSA-9026411,Product,1,R-ALL-9026400
17898,R-HSA-9026544,Substrate,1,R-ALL-29356
17899,R-HSA-9026544,Substrate,1,R-ALL-9025001
17900,R-HSA-9026544,Product,1,R-ALL-9025005
17901,R-HSA-9026757,Substrate,1,R-ALL-29356
17902,R-HSA-9026757,Substrate,1,R-ALL-9026761
17903,R-HSA-9026757,Product,1,R-ALL-29404
17904,R-HSA-9026757,Product,1,R-ALL-9026760
17905,R-HSA-9026771,Substrate,1,R-ALL-29356
17906,R-HSA-9026771,Substrate,1,R-ALL-9026760
17907,R-HSA-9026771,Product,1,R-ALL-9026776
17908,R-HSA-9026771,Product,1,R-ALL-29424
17909,R-HSA-9026777,Substrate,1,R-ALL-29450
17910,R-HSA-9026777,Substrate,1,R-ALL-9025001
17911,R-HSA-9026777,Product,1,R-ALL-9026761
17912,R-HSA-9026780,Substrate,1,R-ALL-29450
17913,R-HSA-9026780,Substrate,1,R-ALL-9025001
17914,R-HSA-9026780,Product,1,R-ALL-9026761
17915,R-HSA-9026901,Substrate,1,R-ALL-29450
17916,R-HSA-9026901,Substrate,1,R-ALL-9024873
17917,R-HSA-9026901,Product,1,R-ALL-9026903
17918,R-HSA-9026907,Substrate,1,R-ALL-29356
17919,R-HSA-9026907,Substrate,1,R-ALL-9026921
17920,R-HSA-9026907,Product,1,R-ALL-9026906
17921,R-HSA-9026907,Product,1,R-ALL-29424
17922,R-HSA-9026911,Substrate,1,R-ALL-29450
17923,R-HSA-9026911,Substrate,1,R-ALL-9024768
17924,R-HSA-9026911,Product,1,R-ALL-9026915
17925,R-HSA-9026912,Substrate,1,R-ALL-9026903
17926,R-HSA-9026912,Substrate,1,R-ALL-29356
17927,R-HSA-9026912,Product,1,R-ALL-29404
17928,R-HSA-9026912,Product,1,R-ALL-9026921
17929,R-HSA-9026916,Substrate,1,R-ALL-29356
17930,R-HSA-9026916,Substrate,1,R-ALL-9026922
17931,R-HSA-9026916,Product,1,R-ALL-9026914
17932,R-HSA-9026916,Product,1,R-ALL-29424
17933,R-HSA-9026917,Substrate,1,R-ALL-9026919
17934,R-HSA-9026917,Substrate,1,R-ALL-29366
17935,R-HSA-9026917,Product,1,R-ALL-9024768
17936,R-HSA-9026917,Product,1,R-ALL-29364
17937,R-HSA-9026918,Substrate,1,R-ALL-29368
17938,R-HSA-9026918,Substrate,1,R-ALL-9024012
17939,R-HSA-9026918,Product,1,R-ALL-9026919
17940,R-HSA-9026927,Substrate,1,R-ALL-29356
17941,R-HSA-9026927,Substrate,1,R-ALL-9026915
17942,R-HSA-9026927,Product,1,R-ALL-29404
17943,R-HSA-9026927,Product,1,R-ALL-9026922
17944,R-HSA-9027033,Substrate,1,R-ALL-9025012
17945,R-HSA-9027033,Substrate,1,R-ALL-5359016
17946,R-HSA-9027033,Product,1,R-ALL-9027029
17947,R-HSA-9027033,Product,1,R-ALL-9024637
17948,R-HSA-9027042,Substrate,1,R-ALL-9027029
17949,R-HSA-9027042,Substrate,1,R-ALL-70106
17950,R-HSA-9027042,Substrate,1,R-ALL-29368
17951,R-HSA-9027042,Substrate,1,R-ALL-29364
17952,R-HSA-9027042,Product,1,R-ALL-29356
17953,R-HSA-9027042,Product,1,R-ALL-9027040
17954,R-HSA-9027042,Product,1,R-ALL-29366
17955,R-HSA-9027043,Substrate,1,R-ALL-70106
17956,R-HSA-9027043,Substrate,1,R-ALL-29368
17957,R-HSA-9027043,Substrate,1,R-ALL-29364
17958,R-HSA-9027043,Substrate,1,R-ALL-9024011
17959,R-HSA-9027043,Product,1,R-ALL-29356
